ror_id_url,name,member_type
https://ror.org/04dde1554,Amsterdam School of the Arts,Colleges
,ArtEZ University for the Arts,Colleges
,Avans University of Applied Sciences,Colleges
https://ror.org/04mfj5474,Breda University of Applied Sciences,Colleges
https://ror.org/04vtvrr13,Codarts Rotterdam,Colleges
https://ror.org/04tj5wz42,Ede University of Applied Sciences,Colleges
https://ror.org/021zvq422,The Hague University of Applied Sciences,Colleges
https://ror.org/039vq9023,Design Academy Eindhoven,Colleges
https://ror.org/05jext738,Driestar University of Applied Sciences,Colleges
https://ror.org/01jwcme05,Fontys Universities of Applied Sciences,Colleges
,Gerrit Rietveld Academie,Colleges
https://ror.org/00xqtxw43,Groningen University of Applied Sciences,Colleges
https://ror.org/05p706d77,HAS University of Applied Sciences,Colleges
https://ror.org/047cqa323,HZ University of Applied Sciences,Colleges
https://ror.org/056k6yz11,Kempel University of Applied Sciences,Colleges
,University of the Arts The Hague,Colleges
https://ror.org/03cfsyg37,University of Applied Sciences Inholland,Colleges
https://ror.org/0230zs006,University of Applied Sciences iPabo,Colleges
https://ror.org/05nrjb178,KPZ University of Applied Sciences,Colleges
https://ror.org/0093src13,University of Applied Sciences Leiden,Colleges
https://ror.org/0481e1q24,University of Applied Sciences Rotterdam,Colleges
https://ror.org/028z9kw20,University of Applied Sciences Utrecht,Colleges
,University of Applied Sciences Amsterdam,Colleges
,University of Arnhem and Nijmegen,Colleges
https://ror.org/02ar29j81,University of Applied Sciences Viaa,Colleges
,Utrecht School of the Arts,Colleges
https://ror.org/018t8yw14,Hotelschool The Hague,Colleges
,Iselinge University of Applied Sciences,Colleges
https://ror.org/03xws5b35,Marnix Academy,Colleges
https://ror.org/02xgxme97,NHL Stenden University of Applied Sciences,Colleges
https://ror.org/005t9n460,Saxion,Colleges
,Thomas More University of Applied Sciences,Colleges
https://ror.org/02mdbnd10,Van Hall Larenstein University of Applied Sciences,Colleges
https://ror.org/04zmc0e16,Windesheim,Colleges
https://ror.org/02m6k0m40,Zuyd University of Applied Sciences,Colleges
,Aeres Group (Groenhorst College),Mbo
,Albeda College,Mbo
,Christian Education Group Vallei & Gelderland-Midden,Mbo
,CIBAP School of Design,Mbo
https://ror.org/00e39jm60,Curio,Mbo
,Da Vinci College,Mbo
,DCTerra,Mbo
,De Rooi Pannen,Mbo
,Deltion College,Mbo
,Firda,Mbo
,Gilde Opleidingen,Mbo
,Graafschap College,Mbo
,Graphic Lyceum Rotterdam,Mbo
,Graphic Lyceum Utrecht,Mbo
,Wood and Furnishings College,Mbo
,Willem I College,Mbo
,Landstede MBO,Mbo
,Leiden Instrumentation School,Mbo
,Lentiz Onderwijsgroep,Mbo
,MBO Amersfoort,Mbo
,MBO Utrecht,Mbo
,MBO Rhineland,Mbo
,Media College Amsterdam,Mbo
,Nimeto Utrecht,Mbo
,Noorderpoort,Mbo
,RBO Scholen,Mbo
,ROC Alfa-college,Mbo
,ROC Aventus,Mbo
,ROC Central Netherlands,Mbo
,ROC Mondriaan,Mbo
,ROC Nijmegen,Mbo
,ROC Nova College,Mbo
,ROC Rivor,Mbo
,ROC van Amsterdam-Flevoland,Mbo
,ROC of Twente,Mbo
,Rhine IJssel,Mbo
,Scalda,Mbo
,SintLucas,Mbo
,SOMA College,Mbo
,STC Group,Mbo
,SVO Foundation for Vocational Education,Mbo
,Summa College,Mbo
,Talland College,Mbo
,Ter AA,Mbo
,Vista College,Mbo
,Vonk,Mbo
,Yonder,Mbo
,Yuverta,Mbo
,Zadkine,Mbo
,Zone.College,Mbo
